Time, gx1, gy1, gz1, gx2, gy2, gz2, ax1, ay1, az1, ax2, ay2, az2
51, 1.59, 0.68, 0.43, 3.22, 1.30, 1.20, -0.04, -1.02, 0.02, -0.02, -1.02, 0.05, 
57, 1.47, 0.21, 0.48, 3.35, 1.57, 1.35, -0.04, -1.00, 0.03, -0.03, -1.00, 0.05, 
64, 1.20, 0.08, 0.33, 3.02, 1.76, 1.12, -0.04, -0.98, 0.03, -0.03, -0.98, 0.03, 
70, 1.23, 0.45, 0.33, 3.47, 1.59, 1.18, -0.04, -0.97, 0.03, -0.03, -0.96, 0.05, 
77, 1.29, 0.73, 0.45, 3.05, 1.85, 1.24, -0.04, -0.96, 0.04, -0.03, -0.96, 0.06, 
82, 1.15, 1.04, 0.22, 4.08, 2.22, 1.38, -0.04, -0.98, 0.04, -0.02, -0.99, 0.03, 
90, 1.17, 0.85, 0.28, 4.30, 1.99, 1.42, -0.04, -1.01, 0.04, -0.02, -1.01, 0.04, 
96, 1.41, 1.09, 0.42, 4.52, 2.25, 1.43, -0.04, -1.04, 0.03, -0.02, -1.05, 0.03, 
104, 1.22, 1.32, 0.32, 4.37, 2.35, 1.30, -0.04, -1.08, 0.04, -0.01, -1.08, 0.02, 
110, 1.34, 0.95, 0.25, 4.06, 2.11, 1.15, -0.04, -1.09, 0.04, -0.01, -1.10, 0.02, 
119, 1.49, 0.74, 0.31, 3.64, 1.95, 0.86, -0.04, -1.08, 0.03, -0.01, -1.09, 0.02, 
126, 1.44, 0.32, 0.38, 2.98, 1.35, 0.89, -0.04, -1.06, 0.04, -0.02, -1.07, 0.02, 
132, 1.54, 0.24, 0.30, 2.71, 1.57, 0.74, -0.03, -1.03, 0.04, -0.02, -1.03, 0.02, 
140, 1.74, -0.02, 0.28, 2.86, 1.53, 0.80, -0.04, -1.01, 0.04, -0.02, -1.01, 0.03, 
147, 1.64, -0.18, 0.19, 2.83, 1.73, 0.80, -0.04, -1.01, 0.04, -0.03, -1.00, 0.03, 
155, 2.19, 0.93, 0.11, 3.35, 1.72, 1.01, -0.04, -1.01, 0.04, -0.03, -1.01, 0.03, 
162, 2.25, 1.64, 0.04, 3.54, 2.09, 0.86, -0.04, -1.03, 0.04, -0.02, -1.03, 0.03, 
168, 2.16, 2.27, 0.03, 3.60, 2.25, 1.09, -0.04, -1.05, 0.03, -0.02, -1.05, 0.03, 
176, 2.46, 2.45, -0.06, 3.31, 2.13, 0.93, -0.04, -1.05, 0.03, -0.02, -1.06, 0.04, 
183, 2.32, 1.59, 0.09, 3.16, 1.63, 0.95, -0.03, -1.04, 0.03, -0.02, -1.04, 0.04, 
191, 2.12, -0.28, 0.11, 2.70, 1.44, 0.97, -0.04, -1.02, 0.03, -0.02, -1.01, 0.05, 
198, 1.87, -1.33, -0.04, 2.54, 1.68, 1.21, -0.04, -1.00, 0.03, -0.03, -0.99, 0.05, 
205, 1.65, 0.06, 0.15, 2.79, 1.51, 1.29, -0.04, -0.98, 0.03, -0.03, -0.98, 0.05, 
213, 2.00, 1.46, -0.13, 3.60, 1.64, 0.87, -0.04, -0.98, 0.03, -0.03, -0.98, 0.05, 
219, 2.02, 1.46, 0.03, 4.29, 1.91, 1.21, -0.04, -0.99, 0.03, -0.03, -0.99, 0.04, 
227, 1.81, 1.47, -0.21, 4.56, 2.12, 1.30, -0.04, -1.01, 0.03, -0.03, -1.02, 0.04, 
235, 1.75, 1.16, -0.14, 4.95, 2.21, 1.30, -0.04, -1.04, 0.03, -0.03, -1.06, 0.03, 
241, 1.45, 0.76, -0.11, 4.20, 2.11, 1.63, -0.04, -1.06, 0.03, -0.02, -1.07, 0.02, 
249, 1.23, 0.65, -0.07, 3.80, 2.07, 1.75, -0.04, -1.07, 0.02, -0.02, -1.08, 0.02, 
256, 1.22, 0.44, -0.15, 3.70, 1.89, 1.45, -0.04, -1.07, 0.03, -0.02, -1.08, 0.02, 
264, 1.42, 0.67, 0.02, 3.79, 1.69, 1.50, -0.04, -1.06, 0.04, -0.02, -1.06, 0.01, 
271, 1.37, 1.31, 0.04, 3.33, 1.65, 1.38, -0.04, -1.05, 0.03, -0.02, -1.05, 0.01, 
277, 1.39, 0.83, 0.02, 2.83, 1.71, 1.38, -0.04, -1.03, 0.04, -0.02, -1.03, 0.02, 
285, 1.71, 0.78, 0.09, 3.31, 1.61, 1.22, -0.04, -1.03, 0.04, -0.03, -1.03, 0.02, 
292, 1.62, 0.63, 0.14, 3.43, 1.88, 0.71, -0.04, -1.02, 0.03, -0.02, -1.02, 0.03, 
300, 1.68, 0.97, 0.34, 3.61, 1.67, 1.28, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
307, 1.73, 1.12, 0.32, 3.88, 1.90, 1.17, -0.04, -1.03, 0.02, -0.03, -1.03, 0.04, 
313, 1.79, 1.37, 0.50, 3.73, 1.62, 1.30, -0.04, -1.02, 0.03, -0.02, -1.03, 0.04, 
321, 1.71, 1.16, 0.54, 3.78, 1.85, 1.23, -0.04, -1.02, 0.03, -0.02, -1.03, 0.05, 
328, 1.39, 0.75, 0.57, 3.36, 1.78, 1.17, -0.04, -1.02, 0.03, -0.02, -1.02, 0.04, 
336, 1.32, 0.73, 0.66, 3.19, 1.62, 1.22, -0.04, -1.01, 0.03, -0.02, -1.00, 0.05, 
342, 1.60, 0.30, 0.66, 2.99, 1.71, 1.08, -0.04, -1.00, 0.03, -0.02, -1.00, 0.04, 
350, 1.50, 0.70, 0.74, 3.48, 1.79, 1.00, -0.04, -0.99, 0.03, -0.02, -0.99, 0.04, 
357, 1.63, 0.96, 0.87, 3.65, 1.85, 0.96, -0.04, -1.01, 0.03, -0.03, -1.00, 0.04, 
364, 1.42, 0.95, 0.78, 4.04, 1.87, 0.98, -0.04, -1.01, 0.04, -0.02, -1.02, 0.03, 
372, 1.63, 0.81, 1.04, 4.21, 1.86, 0.80, -0.04, -1.04, 0.03, -0.02, -1.04, 0.03, 
378, 1.65, 0.90, 1.00, 3.92, 2.17, 0.95, -0.04, -1.05, 0.04, -0.02, -1.06, 0.03, 
386, 1.84, 1.02, 1.14, 4.04, 1.93, 0.83, -0.04, -1.06, 0.04, -0.02, -1.06, 0.02, 
393, 1.87, 0.75, 1.02, 3.64, 1.95, 0.84, -0.04, -1.06, 0.04, -0.02, -1.07, 0.02, 
400, 2.02, 1.01, 1.09, 3.29, 1.69, 0.74, -0.04, -1.05, 0.04, -0.02, -1.06, 0.02, 
408, 2.02, 0.95, 1.15, 3.12, 1.74, 0.75, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
414, 2.29, 0.81, 1.19, 3.33, 1.73, 0.79, -0.04, -1.04, 0.03, -0.02, -1.04, 0.02, 
422, 2.25, 0.93, 1.15, 3.08, 1.89, 0.47, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
430, 2.54, 0.89, 1.15, 3.19, 1.81, 0.78, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
436, 2.32, 1.13, 1.06, 3.02, 2.04, 0.65, -0.04, -1.03, 0.03, -0.02, -1.03, 0.03, 
444, 2.34, 1.14, 0.92, 2.87, 1.62, 0.60, -0.04, -1.03, 0.03, -0.02, -1.03, 0.04, 
450, 2.10, 1.10, 0.91, 3.41, 1.93, 0.69, -0.04, -1.02, 0.02, -0.02, -1.02, 0.04, 
458, 2.01, 1.31, 0.82, 3.18, 1.71, 0.76, -0.04, -1.02, 0.03, -0.02, -1.01, 0.04, 
466, 1.76, 0.85, 0.95, 3.12, 1.75, 0.81, -0.04, -1.01, 0.03, -0.02, -1.01, 0.05, 
472, 1.65, 0.64, 0.67, 3.36, 1.97, 0.88, -0.03, -1.00, 0.03, -0.03, -1.00, 0.05, 
480, 1.71, 0.81, 0.64, 3.45, 1.69, 0.87, -0.04, -1.00, 0.03, -0.03, -1.00, 0.04, 
486, 1.48, 0.87, 0.57, 3.93, 1.93, 0.95, -0.03, -1.00, 0.03, -0.03, -1.00, 0.05, 
494, 1.54, 0.81, 0.68, 3.99, 1.93, 1.19, -0.04, -1.01, 0.03, -0.03, -1.01, 0.04, 
502, 1.29, 0.75, 0.45, 3.95, 1.97, 1.41, -0.03, -1.02, 0.03, -0.03, -1.03, 0.03, 
508, 1.44, 0.74, 0.42, 3.95, 1.98, 1.24, -0.04, -1.04, 0.03, -0.03, -1.04, 0.03, 
516, 1.35, 0.98, 0.36, 4.04, 2.05, 1.39, -0.04, -1.05, 0.03, -0.02, -1.05, 0.03, 
522, 1.41, 0.92, 0.32, 3.94, 1.77, 1.55, -0.04, -1.05, 0.04, -0.02, -1.06, 0.02, 
530, 1.59, 0.68, 0.33, 3.70, 2.01, 1.52, -0.04, -1.05, 0.03, -0.02, -1.06, 0.02, 
538, 1.36, 0.78, 0.32, 3.75, 1.81, 1.36, -0.04, -1.05, 0.04, -0.02, -1.06, 0.02, 
544, 1.43, 1.00, 0.48, 3.45, 1.71, 1.57, -0.04, -1.05, 0.04, -0.02, -1.05, 0.02, 
552, 1.63, 0.82, 0.46, 3.75, 1.76, 1.23, -0.04, -1.04, 0.04, -0.02, -1.04, 0.02, 
558, 1.27, 0.78, 0.41, 3.26, 1.42, 1.29, -0.04, -1.04, 0.04, -0.02, -1.04, 0.03, 
566, 1.58, 0.85, 0.32, 3.32, 1.63, 1.58, -0.04, -1.03, 0.03, -0.03, -1.03, 0.03, 
573, 1.66, 0.92, 0.70, 3.17, 1.85, 1.74, -0.04, -1.02, 0.03, -0.03, -1.02, 0.04, 
581, 1.86, 1.09, 0.52, 3.29, 1.81, 1.53, -0.04, -1.02, 0.03, -0.03, -1.02, 0.04, 
